dH sigma,dS sigma,effective barrier,permeability,max barrier,max enthalpic barrier,max entropic barrier
1.0,0.0016666666666666668,16.793161234596685,6.448870038613415e-05,17.60792969273518,8.038660380029022,-0.02212513246583068
1.0,0.0033333333333333335,17.319491661431496,2.6656535129463647e-05,18.74382936869913,7.953460869599948,-0.01424810782565921
1.0,0.005,18.09123422498801,7.298360255919402e-06,22.023361100700726,7.979296304244124,-0.006993104584797516
1.0,0.006666666666666667,18.99771227642161,1.5937806618761852e-06,23.04831090064421,8.39321601756805,0.00532568015033822
1.0,0.008333333333333333,19.971757691596398,3.1072566116084654e-07,25.85184864386938,7.925936721327288,0.007617964122114011
1.0,0.01,20.9740724749651,5.777209574801269e-08,27.053019035406546,8.273508791383342,0.017979529278322366
1.0,0.013333333333333334,22.971258286184273,2.0222107360738867e-09,32.094818603149236,8.163073175483008,0.03184332488733831
1.0,0.016666666666666666,25.045841155622394,6.216049222329206e-11,36.320495218520705,8.091192108830331,0.047599950056063656
1.0,0.02,26.874918222450468,2.8851555486157125e-12,38.39848245779369,8.331656999864412,0.0738896680747605
1.0,0.023333333333333334,28.988005400575492,8.313592216504397e-14,44.20741486944843,8.139929378299424,0.08401307492834692
1.0,0.02666666666666667,30.96811201409283,2.9946581796468534e-15,48.073502120299274,8.028885131060566,0.09733091702502056
1.0,0.03,32.8874425220002,1.1945651790957378e-16,55.82363826155118,7.870210981634248,0.11794557428311356
1.0,0.03333333333333333,34.89968553340724,4.077010870868142e-18,62.66362100105268,8.011522622755773,0.1295703743032872
1.5,3.3333333333333335e-07,17.485341266382235,2.0179204822595073e-05,20.256824404199513,11.257013663273572,-0.029998513202997158
1.5,3.3333333333333333e-06,17.486715777864905,2.0132702160289035e-05,19.982162740452964,10.98098222626996,-0.02998508313671725
1.5,3.3333333333333335e-05,17.492503494470203,1.9938064092848255e-05,19.36626714977412,10.35283114465346,-0.029850106854115856
1.5,0.0001666666666666667,17.490547123176178,2.0003644457047255e-05,19.201437496855043,10.176619304750501,-0.029264743860979093
1.5,0.0003333333333333334,17.49594727771552,1.9823145451953396e-05,19.496979332939407,10.439448007201706,-0.028258511705622855
1.5,0.0016666666666666668,17.643102929474978,1.548461025067246e-05,19.544595974549125,10.295888377221301,-0.02187114610175917
1.5,0.0033333333333333335,18.07602547863974,7.487072538736476e-06,21.614685973490722,10.066804056257215,-0.014562535561985137
1.5,0.005,18.75464665765024,2.3967154909191658e-06,22.760011077768514,10.049284716204285,-0.007514961762231393
1.5,0.006666666666666667,19.56663586070485,6.133373674947026e-07,23.772312111592896,10.33580061140184,-0.0007218785117255877
1.5,0.008333333333333333,20.447520152181315,1.3981694378660423e-07,25.651942609395732,10.950514960831267,0.007590733079522703
1.5,0.01,21.36541776311773,2.995287585775292e-08,28.68521389254187,10.837787435997962,0.015094239752850548
1.5,0.013333333333333334,23.37802639878465,1.021654412684442e-09,32.20804455412356,10.244206711848264,0.029401558225148228
1.5,0.016666666666666666,25.242367226030165,4.4694339475296823e-11,40.5447031332295,10.514519722353945,0.04416749796290566
1.5,0.02,27.009562894391753,2.3015323954191626e-12,41.813378109553454,10.175285376694484,0.06806870998021168
1.5,0.023333333333333334,28.799678030722035,1.1404441456825668e-13,46.64061981289264,10.218074178184512,0.07298819557439225
1.5,0.02666666666666667,31.034858705595333,2.677261643980049e-15,50.336049798562414,10.421609077036145,0.08931024666563597
1.5,0.03,32.94201352077808,1.0900066400556124e-16,56.54299217031316,10.704043405267267,0.11530507891137187
1.5,0.03333333333333333,33.96350101796296,1.9624282247608432e-17,61.004986663438764,10.962650948231595,0.12436788620650716
2.0,3.3333333333333335e-07,18.50439008653598,3.6479292999963178e-06,21.589879888452643,12.589838367687534,-0.029998492430544418
2.0,3.3333333333333333e-06,18.50277692626391,3.6578202573043902e-06,22.523555151349758,13.523840484771243,-0.029984813023008688
